bucket_month,total_orders,total_sales
2016-09-01,3,252.239994049072
2016-10-01,342,59090.4799993038
2016-12-01,1,19.6200008392334
2017-01-01,850,138488.040064156
2017-02-01,1886,291908.009507149
2017-03-01,2837,449863.599528223
2017-04-01,2571,417788.029498726
2017-05-01,3944,592918.820136333
2017-06-01,3436,511276.380328715
2017-07-01,4317,592382.919487059
2017-08-01,4550,674396.319929732
2017-09-01,4516,727762.450406775
2017-10-01,4860,779677.879735518
2017-11-01,7863,1194882.79971625
2017-12-01,5895,878401.479871228
2018-01-01,7563,1115004.17916377
2018-02-01,6952,992463.340164632
2018-03-01,7512,1159652.11965598
2018-04-01,7209,1160785.48068544
2018-05-01,7135,1153982.15108764
2018-06-01,6419,1023880.50073741
2018-07-01,6507,1066540.74884436
2018-08-01,6698,1022425.32138276
2018-09-01,16,4439.54013061523
2018-10-01,4,589.669998168945
